title,price,location,type_de_vente,salon,chamber,toilete,area,link
Appartement meublé au centre de Rabat,7 800 DH,Rabat,NaN,1,NaN,NaN,54,https://www.avito.ma/fr/agdal/appartements/Appartement_meubl%C3%A9_au_centre_de_Rabat_55696814.htm
Appartement location de vacances à Tanger,1 000 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/iberie/locations_de_vacances/Appartement_location_de_vacances_%C3%A0_Tanger_55611554.htm
Appartement 79m Proche Casaneachor,800 000 DH,Casablanca,"Appartements, à vendre",1,2,2,79,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_79m_Proche_Casaneachor__55645218.htm
Appartement à vendre roches noires à Casablanca,1 044 000 DH,Casablanca,"Appartements, à vendre",1,3,2,81,https://www.avito.ma/vi/55723042.htm
terrain a vendre zone immeuble avec commerce,1 100 000 DH,Mediouna,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/55704377.htm
Appartement 98m Meublé Luxe à Val Fleuri,8 000 DH,Casablanca,NaN,1,NaN,NaN,98,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_98m_Meubl%C3%A9_Luxe_%C3%A0_Val_Fleuri__55487373.htm
"Appartement à agadir , Hay Salam",6 000 DH,Agadir,NaN,1,NaN,NaN,78,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_agadir___Hay_Salam_55195491.htm
RBA-HA-1076 - Appartement à vendre à Hassan,1 500 000 DH,Rabat,"Appartements, à vendre",NaN,2,1,110,https://www.avito.ma/fr/hassan/appartements/RBA_HA_1076___Appartement_%C3%A0_vendre_%C3%A0_Hassan_55151566.htm
Appartement full option,350 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Appartement_full_option__55502909.htm
Appartement meublé à louer à la journée,1 200 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/malabata/locations_de_vacances/Appartement_meubl%C3%A9_%C3%A0_louer_%C3%A0_la_journ%C3%A9e_55665250.htm
Appartement à louer 90 m² à Mohammedia,6 000 DH,Mohammedia,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/wafa/appartements/Appartement_%C3%A0_louer_90_m%C2%B2_%C3%A0_Mohammedia_55418905.htm
Idéal Appartement à Bouznika,480 000 DH,Bouznika,"Appartements, à vendre",2,2,1,68,https://www.avito.ma/fr/autre_secteur/appartements/Id%C3%A9al_Appartement_%C3%A0_Bouznika_53254157.htm
Propre App 2mn CORniche,200 DH /Nuit,Martil,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/martil/locations_de_vacances/Propre_App_2mn_CORniche_45842978.htm
Appartement 90m Haut Standing A Ferme Bretone,7 500 DH,Casablanca,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/ferme_bretone/appartements/Appartement_90m_Haut_Standing_A_Ferme_Bretone_55356595.htm
"Super appartement familial, bon emplacement",300 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_massira/locations_de_vacances/Super_appartement_familial__bon_emplacement__55109316.htm
appartement 2 façade boulevard,940 000 DH,Casablanca,"Appartements, à vendre",2,3,2,107,https://www.avito.ma/fr/roches_noires/appartements/appartement_2_fa%C3%A7ade_boulevard__53912758.htm
ménage nounou cuisine polyvalente,NaN,Bouskoura,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/bouskoura_centre/femmes_de_m%C3%A9nages__nounous_et_chauffeurs/m%C3%A9nage_nounou_cuisine_polyvalente__54988331.htm
Appartement à louer 76 m² à Salé,4 300 DH,Salé,NaN,1,NaN,NaN,76,https://www.avito.ma/fr/sala_el_jadida/appartements/Appartement_%C3%A0_louer_76_m%C2%B2_%C3%A0_Sal%C3%A9_55732568.htm
Appt de Standing Haut-AgdaL vue dégagée,16 000 DH,Rabat,NaN,1,NaN,NaN,160,https://www.avito.ma/fr/agdal/appartements/Appt_de_Standing_Haut_AgdaL_vue_d%C3%A9gag%C3%A9e__55408892.htm
Appartement location de vacances à Casablanca,500 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/maarif/locations_de_vacances/Appartement_location_de_vacances_%C3%A0_Casablanca_54166786.htm
Appartement 116 mètres proximité Av des Far,NaN,Meknès,"Appartements, à vendre",2,NaN,NaN,116,https://www.avito.ma/fr/hamria/appartements/Appartement_116_m%C3%A8tres_proximit%C3%A9_Av_des_Far_55732551.htm
Appartement à vendre 97m² à Agadir,1 500 000 DH,Agadir,"Appartements, à vendre",1,2,2,97,https://www.avito.ma/fr/hay_massira/appartements/Appartement_%C3%A0_vendre_97m%C2%B2_%C3%A0_Agadir_52032951.htm
Appartement à vendre 100 m² à Tanger,1 190 000 DH,Tanger,"Appartements, à vendre",2,3,1,100,https://www.avito.ma/fr/branes_1/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Tanger_55732549.htm
Appartement de standing projet bassatine Kénitra,350 000 DH,Kénitra,"Appartements, à vendre",1,2,1,62,https://www.avito.ma/fr/fouarate/appartements/Appartement_de_standing_projet_bassatine__K%C3%A9nitra__43529418.htm
Appartement de prestige Kénitra,1 030 000 DH,Kénitra,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/maamora/local/Appartement_de_prestige____K%C3%A9nitra__44793035.htm
APPT EN VENTE 2 CH LIVRAISON IMMÉDIATE BOUSKOURA,665 000 DH,Bouskoura,"Appartements, à vendre",2,2,2,70,https://www.avito.ma/fr/bouskoura_centre/appartements/APPT_EN_VENTE_2_CH_LIVRAISON_IMM%C3%89DIATE_BOUSKOURA__39257714.htm
Appartement 74m Neuf A Maarif Ex,1 130 000 DH,Casablanca,"Appartements, à vendre",1,2,2,74,https://www.avito.ma/fr/maarif/appartements/Appartement_74m_Neuf_A_Maarif_Ex_54451973.htm
jolie appartement à 600 m de la gare Kénitra,NaN,Kénitra,NaN,1,NaN,NaN,124,https://www.avito.ma/fr/maamora/appartements/jolie_appartement__%C3%A0_600_m_de_la_gare_K%C3%A9nitra__55732535.htm
PRÉSTIGIEUX APPART MEUBLÉ Avec Wi-Fi et Piscine,300 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_mohammadi/locations_de_vacances/PR%C3%89STIGIEUX_APPART_MEUBL%C3%89_Avec_Wi_Fi_et_Piscine_55732530.htm
Guiche lodaya-Appartement en vente,1 100 000 DH,Rabat,"Appartements, à vendre",1,2,1,83,https://www.avito.ma/fr/guich_oudaya/appartements/Guiche_lodaya_Appartement_en_vente__55151598.htm
appartement a louer court durée,399 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/appartement_a_louer_court_dur%C3%A9e__55576589.htm
Appartement 2 Chambres dans une Résidence Fermée,5 000 DH,El Mansouria,NaN,1,NaN,NaN,74,https://www.avito.ma/fr/el_mansouria/appartements/Appartement_2_Chambres_dans_une_R%C3%A9sidence_Ferm%C3%A9e__55721375.htm
appart meublé familial sans intermédiaire 3chambre,350 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/centre_ville/locations_de_vacances/appart_meubl%C3%A9_familial_sans_interm%C3%A9diaire_3chambre_54618092.htm
Appartement à beau rivage,NaN,Bouznika,"Appartements, à vendre",1,NaN,NaN,63,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_beau_rivage__55732524.htm
Location de vacance pas cher,499 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/abdelmoumen/locations_de_vacances/Location_de_vacance_pas_cher_55732522.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/locations_de_vacances/Joli_appartement_meubl%C3%A9_%C3%A0_Tanger__55732521.htm
Appartement 90m Haut Standing A Val Fleuri,6 700 DH,Casablanca,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_90m_Haut_Standing_A_Val_Fleuri__55572561.htm
Appartement terrasse Odyssia living bouskoura,815 000 DH,Bouskoura,"Appartements, à vendre",2,2,2,73,https://www.avito.ma/fr/bouskoura_centre/appartements/Appartement_terrasse_Odyssia_living_bouskoura_41059292.htm
Excellents appartements meublés,5 500 DH,Temara,NaN,1,NaN,NaN,105,https://www.avito.ma/fr/wifak/appartements/Excellents_appartements_meubl%C3%A9s_55683176.htm
Appartement avec magnifique view,350 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/55607125.htm
Appts de vacances prés la gare,300 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/55181561.htm
Location appartement neuf jamais habité,2 250 DH,Casablanca,NaN,1,NaN,NaN,52,https://www.avito.ma/fr/sidi_bernoussi/appartements/Location_appartement_neuf_jamais_habit%C3%A9_55177004.htm
Appartement de vacances – Proche de la Gare Agdal,950 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/locations_de_vacances/Appartement_de_vacances___Proche_de_la_Gare_Agdal__55695017.htm
appartement meublée palmeraie,600 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/locations_de_vacances/appartement_meubl%C3%A9e_palmeraie__55581959.htm
شقة مجهزة ونظيفة لقضاء العطل/أ33,250 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_salam/locations_de_vacances/%D8%B4%D9%82%D8%A9_%D9%85%D8%AC%D9%87%D8%B2%D8%A9_%D9%88%D9%86%D8%B8%D9%8A%D9%81%D8%A9_%D9%84%D9%82%D8%B6%D8%A7%D8%A1_%D8%A7%D9%84%D8%B9%D8%B7%D9%84_%D8%A333_54434081.htm
Appart 70m Meublé La Gironde côté École Jabir,5 500 DH,Casablanca,NaN,1,NaN,NaN,70,https://www.avito.ma/fr/la_gironde/appartements/Appart_70m_Meubl%C3%A9_La_Gironde_c%C3%B4t%C3%A9_%C3%89cole_Jabir__55388070.htm
appartement pour location,400 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/allal_el_fassi/locations_de_vacances/appartement_pour_location__55627090.htm
Appart meublé Bourgogne vue mer par jour chic,900 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hivernage/locations_de_vacances/Appart_meubl%C3%A9_198m_3ch_3wc_nuit%C3%A9e_hivernage__55665498.htm
