title,price,location,type_de_vente,salon,chamber,toilete,area,link
Appartement 80 m² à Agadir,640 000 DH,Agadir,"Appartements, à vendre",1,3,2,80,https://www.avito.ma/fr/abattoirs/appartements/Appartement_80_m%C2%B2_%C3%A0_Agadir_54259104.htm
Appartement neuf à louer à wifak,7 500 DH,Temara,NaN,1,NaN,NaN,140,https://www.avito.ma/fr/wifak/appartements/Appartement_neuf_%C3%A0_louer_%C3%A0_wifak__52428071.htm
appartement à laouer,3 500 DH,Agadir,NaN,1,NaN,NaN,52,https://www.avito.ma/fr/cit%C3%A9_adrar/appartements/appartement_%C3%A0_laouer__55700721.htm
appartement à vendre,560 000 DH,Agadir,"Appartements, à vendre",1,2,1,68,https://www.avito.ma/fr/tilila/appartements/appartement_%C3%A0_vendre__55658989.htm
Appartement à vendre 56 m² à Marrakech,300 000 DH,Marrakech,"Appartements, à vendre",1,2,1,56,https://www.avito.ma/fr/m'hamid/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Marrakech_55715127.htm
Appartement 127m² Gauthier,2 220 000 DH,Casablanca,"Appartements, à vendre",3,3,2,127,https://www.avito.ma/fr/gauthier/appartements/Appartement_127m%C2%B2_Gauthier__48156341.htm
appartement à vendre,890 000 DH,Agadir,"Appartements, à vendre",1,2,1,68,https://www.avito.ma/fr/hay_mohammadi/appartements/appartement_%C3%A0_vendre__55393636.htm
appt de vacance,300 DH /Nuit,Tétouan,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/54561127.htm
Appartement à vendre 86 m² à Agadir,NaN,Agadir,"Appartements, à vendre",1,NaN,NaN,86,https://www.avito.ma/vi/55656417.htm
CMN-ME-1284 - Appartement à vendre à La Gironde,880 000 DH,Casablanca,"Appartements, à vendre",NaN,2,2,75,https://www.avito.ma/fr/la_gironde/appartements/CMN_ME_1284___Appartement_%C3%A0_vendre_%C3%A0_La_Gironde_54561889.htm
Vente Appartement façade à Maghreb Arabi KENITRA,595 000 DH,Kénitra,"Appartements, à vendre",1,2,1,75,https://www.avito.ma/fr/al_maghrib_al_arabi/appartements/Vente_Appartement_fa%C3%A7ade_%C3%A0_Maghreb_Arabi_KENITRA__55644295.htm
appartement au centre d'Agadir,200 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/abattoirs/locations_de_vacances/appartement_au_centre_d_Agadir_45695266.htm
Propre appart 5 min a gueliz 2 chambres i,200 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Propre_appart_5_min_a_gueliz_2_chambres_i_49779711.htm
bel appartement à Prestigia,NaN,Rabat,NaN,2,NaN,NaN,150,https://www.avito.ma/fr/hay_riad/appartements/bel_appartement_%C3%A0_Prestigia__52406671.htm
Appart meublee,NaN,Tamaris,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/tamaris/locations_de_vacances/Appart__meublee__43260605.htm
Appartement à louer au centre d'Agadir,299 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_mohammadi/locations_de_vacances/Appartement_%C3%A0_louer_au_centre_d_Agadir__55506871.htm
Appartement 111 m² à Selouane,1 100 000 DH,Selouane,"Appartements, à vendre",1,3,2,111,https://www.avito.ma/fr/selouane/appartements/Appartement_111_m%C2%B2_%C3%A0_Selouane_55612508.htm
Appartement près les écoles mariaà louer wifak,3 200 DH,Temara,NaN,1,NaN,NaN,75,https://www.avito.ma/fr/wifak/appartements/Appartement_pr%C3%A8s_les_%C3%A9coles_maria%C3%A0_louer_wifak__55716950.htm
appartement à vendre salé Tabriquet,7 400 000 DH,Salé,"Appartements, à vendre",1,2,2,82,https://www.avito.ma/fr/tabriquet/appartements/appartement_%C3%A0_vendre_sal%C3%A9_Tabriquet__55682638.htm
Appartement proche centre ville,590 000 DH,Marrakech,"Appartements, à vendre",1,2,2,70,https://www.avito.ma/fr/route_d'amezmiz/appartements/Appartement_proche_centre_ville_55578827.htm
Bel Appartement à Bouznika,420 000 DH,Bouznika,"Appartements, à vendre",1,2,2,60,https://www.avito.ma/fr/autre_secteur/appartements/Bel_Appartement_%C3%A0_Bouznika_55653535.htm
appartement à vendre,920 000 DH,Agadir,"Appartements, à vendre",2,2,2,87,https://www.avito.ma/fr/hay_dakhla/appartements/appartement_%C3%A0_vendre__55567859.htm
Appartement à vendre 58 m² à Marrakech,350 000 DH,Marrakech,"Appartements, à vendre",1,2,1,58,https://www.avito.ma/fr/m'hamid/appartements/Appartement_%C3%A0_vendre_58_m%C2%B2_%C3%A0_Marrakech_55428734.htm
Appartement à vendre 75 m² à Casablanca Princesses,1 250 000 DH,Casablanca,"Appartements, à vendre",1,2,1,75,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_Casablanca_Princesses_55711540.htm
Appartement de vacances familiales,300 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/allal_el_fassi/locations_de_vacances/Appartement_de_vacances_familiales_53751148.htm
"Souissi, Rabat Square Eagle Hills Appart à Vendre",3 220 000 DH,Rabat,"Appartements, à vendre",1,2,3,124,https://www.avito.ma/fr/souissi/appartements/Souissi__Rabat_Square_Eagle_Hills_Appart_%C3%A0_Vendre_55698916.htm
Appartement à vendre 80 m² à Agadir,640 000 DH,أكادير,"Appartements, à vendre",1,3,2,80,https://www.avito.ma/fr/abattoirs/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Agadir_53634704.htm
Appartement 123m Sans Vis à vis A France Ville,1 780 000 DH,Casablanca,"Appartements, à vendre",1,3,2,123,https://www.avito.ma/fr/franceville/appartements/Appartement_123m_Sans_Vis_%C3%A0_vis_A_France_Ville_55465967.htm
Appartement à louer 160 m² à Oulfa Casablanca,8 500 DH,Casablanca,NaN,2,NaN,NaN,160,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_160_m%C2%B2_%C3%A0_Oulfa_Casablanca_55733555.htm
appartement à ne pas rater,700 000 DH,Marrakech,"Appartements, à vendre",1,2,2,63,https://www.avito.ma/fr/mabrouka/appartements/appartement_%C3%A0_ne_pas_rater_54429115.htm
Appartement à vendre,620 000 DH,Casablanca,"Appartements, à vendre",2,2,1,74,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_55005398.htm
Appartement à louer 76 m² à Rabat,7 500 DH,Rabat,NaN,1,NaN,NaN,76,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_louer_76_m%C2%B2_%C3%A0_Rabat_55733560.htm
Appartement de standing bd ibnou tachfine,950 000 DH,Casablanca,"Appartements, à vendre",2,2,1,101,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_de_standing_bd_ibnou_tachfine_54727876.htm
Appartement terrasse meublé 140m Maarif Romandie,9 500 DH,Casablanca,NaN,1,NaN,NaN,140,https://www.avito.ma/fr/maarif/appartements/Appartement_terrasse_meubl%C3%A9_140m_Maarif_Romandie_50068500.htm
appartement,1 368 000 DH,Agadir,"Appartements, à vendre",1,3,2,114,https://www.avito.ma/fr/el_houda/appartements/appartement__55550436.htm
appartement à laouer,7 000 DH,Agadir,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/haut_founty/appartements/appartement_%C3%A0_laouer__55677539.htm
Opportunité à ne pas rater,820 000 DH,Martil,"Appartements, à vendre",1,3,1,127,https://www.avito.ma/fr/martil/appartements/Opportunit%C3%A9_%C3%A0_ne_pas_rater__55733541.htm
Bel Appartement ensoleillé à Bouskoura,4 200 DH,Bouskoura,NaN,1,NaN,NaN,97,https://www.avito.ma/fr/bouskoura_centre/appartements/Bel_Appartement_ensoleill%C3%A9_%C3%A0_Bouskoura__55711021.htm
location d'appartements meublés par jour,250 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_mohammadi/locations_de_vacances/location_d_appartements_meubl%C3%A9s_par_jour_54573572.htm
appartement meublé location par jour,NaN,Fès,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/locations_de_vacances/appartement_meubl%C3%A9_location_par_jour__54653431.htm
Appartement à louer 100 m² à Nador,4 200 DH,Nador,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/hay_al_matar/appartements/Appartement_%C3%A0_louer_100_m%C2%B2_%C3%A0_Nador_50804891.htm
Appartement 67 m² à Tanger,NaN,Tanger,"Appartements, à vendre",1,NaN,NaN,67,https://www.avito.ma/fr/manar/appartements/Appartement_67_m%C2%B2_%C3%A0_Tanger_53961997.htm
Appartement à vendre 144 m² à Tanger,11 000 DH,Tanger,"Appartements, à vendre",1,3,2,144,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_144_m%C2%B2_%C3%A0_Tanger_55403393.htm
Porte Blindée Gros et Détail,3 200 DH,Bouznika,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/40436946.htm
Appartement à louer à Nasime,2 500 DH,Mohammedia,NaN,1,NaN,NaN,60,https://www.avito.ma/vi/52489225.htm
CMN-MA-1698 - Appartement à vendre à 2 Mars,1 440 000 DH,Casablanca,"Appartements, à vendre",NaN,2,2,80,https://www.avito.ma/fr/2_mars/appartements/CMN_MA_1698___Appartement_%C3%A0_vendre_%C3%A0_2_Mars_55549534.htm
appartement à vendre,28 000 000 DH,Agadir,"Appartements, à vendre",1,2,2,106,https://www.avito.ma/fr/marina/appartements/appartement_%C3%A0_vendre__55485579.htm
Appartement à vendre 185 m² à Tanger,NaN,Tanger,"Appartements, à vendre",2,NaN,NaN,183,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_185_m%C2%B2_%C3%A0_Tanger_53725203.htm
Appartement à vendre roches noires à Casablanca,1 044 000 DH,Casablanca,"Appartements, à vendre",1,3,2,81,https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_roches_noires_%C3%A0_Casablanca_55723042.htm
Appartement terrasse 210m² Belvédère,1 550 000 DH,Casablanca,"Appartements, à vendre",1,4,2,210,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_terrasse_210m%C2%B2_Belv%C3%A9d%C3%A8re__54065530.htm
Grand Appartement à vendre 215 m² 4 ch ville verte,3 900 000 DH,Bouskoura,"Appartements, à vendre",1,4,2,215,https://www.avito.ma/fr/bouskoura_centre/appartements/Grand_Appartement_%C3%A0_vendre_215_m%C2%B2_4_ch_ville_verte_37769880.htm
appartement à laouer,4 500 DH,Agadir,NaN,1,NaN,NaN,80,https://www.avito.ma/fr/hay_salam/appartements/appartement_%C3%A0_laouer__55572904.htm
appartement à vendre,430 000 DH,Marrakech,"Appartements, à vendre",1,2,1,58,https://www.avito.ma/fr/m'hamid/appartements/appartement_%C3%A0_vendre__55644396.htm
Apparemment 3CH haute de gamme,1 600 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/av_mohammed_vi/locations_de_vacances/Apparemment_3CH_haute_de_gamme_54596113.htm
Appartement à vendre 60 m² à Casablanca,400 000 DH,Casablanca,"Appartements, à vendre",1,2,1,60,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Casablanca_50987346.htm
Appartement à vendre 109 m² à oulfa/lissasfa,945 000 DH,Casablanca,"Appartements, à vendre",2,3,2,109,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_109_m%C2%B2_%C3%A0_oulfa_lissasfa_55649716.htm
Appartement Neuf 150 m²en Vente à Ville verte,2 800 000 DH,Bouskoura,"Appartements, à vendre",1,3,2,150,https://www.avito.ma/fr/bouskoura_centre/appartements/Appartement_Neuf_150_m%C2%B2en_Vente_%C3%A0_Ville_verte_48930442.htm
studio impeccable pour location journalière,500 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/racine/locations_de_vacances/studio_impeccable_pour_location_journali%C3%A8re__54334895.htm
appartement meublé chez propriétaire,200 DH /Nuit,Mohammedia,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/el_alia/locations_de_vacances/appartement_meubl%C3%A9_chez_propri%C3%A9taire__55733522.htm
appartement familiale en location journalière,360 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/malabata/locations_de_vacances/appartement_familiale_en_location_journali%C3%A8re___54974303.htm
Appartement à louer 66 m² à Dar Bouazza,3 200 DH,Dar Bouazza,NaN,1,NaN,NaN,66,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_louer_66_m%C2%B2_%C3%A0_Dar_Bouazza_54591292.htm
Appartement Agdal calme,500 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/locations_de_vacances/Appartement_Agdal_calme_55635240.htm
Appartement à louer 79 m² à Béni Yakhlef,NaN,Béni Yakhlef,NaN,1,NaN,NaN,79,https://www.avito.ma/fr/b%C3%A9ni_yakhlef/appartements/Appartement_%C3%A0_louer_79_m%C2%B2_%C3%A0_B%C3%A9ni_Yakhlef_55733504.htm
Appartement bien situé à Sala Al Jadida,2 200 DH,Salé,NaN,1,NaN,NaN,55,https://www.avito.ma/fr/sala_el_jadida/appartements/Appartement_bien_situ%C3%A9_%C3%A0_Sala_Al_Jadida_55733498.htm
Appartement meublé à louer sur l'Agdal,15 000 DH,Rabat,NaN,1,NaN,NaN,130,https://www.avito.ma/fr/agdal/appartements/Appartement_meubl%C3%A9_%C3%A0_louer_sur_l_Agdal_55616706.htm
Appartement à vendre 110 m² à Rabat,1 600 000 DH,Rabat,"Appartements, à vendre",1,3,2,110,https://www.avito.ma/fr/diour_jamaa/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Rabat_55699144.htm
Très beau Appartement à louer 110m² à El Mansouria,7 000 DH,El Mansouria,NaN,1,NaN,NaN,95,https://www.avito.ma/fr/el_mansouria/appartements/Tr%C3%A8s_beau_Appartement_%C3%A0_louer_110m%C2%B2_%C3%A0_El_Mansouria_55733497.htm
NEW-RESBADR2 - Appartement à vendre à Hay Chrifa,1 310 000 DH,Casablanca,"Appartements, à vendre",NaN,3,2,93,https://www.avito.ma/fr/hay_chrifa/appartements/NEW_RESBADR2___Appartement_%C3%A0_vendre_%C3%A0_Hay_Chrifa_55605735.htm
Appartement haut standing,300 DH /Nuit,Fès,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/f%C3%A8s_m%C3%A9dina/locations_de_vacances/Appartement_haut_standing_31159848.htm
sans intermédiaire au centre ville,200 DH /Nuit,El Jadida,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/centre/locations_de_vacances/sans_interm%C3%A9diaire_au_centre_ville__55733494.htm
Appartement vide 2 chambres Mabrouka,3 200 DH,Marrakech,NaN,NaN,NaN,NaN,75,https://www.avito.ma/fr/mabrouka/appartements/Appartement_vide_2_chambres_Mabrouka_55733492.htm
Appartement à louer à Kénitra à la ville haute,3 400 DH,Kénitra,NaN,1,NaN,NaN,75,https://www.avito.ma/fr/la_ville_haute/appartements/Appartement_%C3%A0_louer_%C3%A0_K%C3%A9nitra_%C3%A0_la_ville_haute__55733490.htm
Appartement à vendre 76 m² à El Mansouria,900 000 DH,El Mansouria,"Appartements, à vendre",1,2,2,76,https://www.avito.ma/fr/el_mansouria/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_El_Mansouria_55733489.htm
Appartement à vendre à Bouznika,320 000 DH,Bouznika,"Appartements, à vendre",1,2,1,54,https://www.avito.ma/fr/plage_oued_cherrat/appartements/Appartement_%C3%A0_vendre_%C3%A0_Bouznika_55733488.htm
CMN-AN-1638 - Appartement à vendre à Bourgogne,1 300 000 DH,Casablanca,"Appartements, à vendre",NaN,2,1,94,https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1638___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_55392350.htm
Appartement à vendre à Casablanca,280 000 DH,Casablanca,"Appartements, à vendre",1,2,1,NaN,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_%C3%A0_Casablanca_55733484.htm
appartement à vendre situé à Skhirate,320 000 DH,Skhirat,"Appartements, à vendre",1,2,1,56,https://www.avito.ma/fr/autre_secteur/appartements/appartement_%C3%A0_vendre_situ%C3%A9_%C3%A0_Skhirate__55733481.htm
Appartement à louer 125 m² à Riad toulal Meknès,2 700 DH,Meknès,NaN,2,NaN,NaN,125,https://www.avito.ma/fr/riad_toulal/appartements/Appartement_%C3%A0_louer_125_m%C2%B2_%C3%A0_Riad_toulal_Mekn%C3%A8s_55733478.htm
Appartement à vendre 70 m² à Casablanca,700 000 DH,Casablanca,"Appartements, à vendre",1,2,1,70,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Casablanca_55733473.htm
Appartement à louer pour vacances . LDV481,NaN,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/54273681.htm
Appartement à louer à Nasime,2 500 DH,Mohammedia,NaN,1,NaN,NaN,60,https://www.avito.ma/vi/52489225.htm
Appartement à vendre 59 m² à Marrakech,540 000 DH,Marrakech,"Appartements, à vendre",1,2,1,59,https://www.avito.ma/fr/hay_charaf/appartements/Appartement_%C3%A0_vendre_59_m%C2%B2_%C3%A0_Marrakech_55733469.htm
Appartement à louer,3 200 DH,Kénitra,NaN,1,NaN,NaN,53,https://www.avito.ma/fr/mimosas/appartements/Appartement_%C3%A0_louer__55733461.htm
Appartement à vendre 50 m² à Béni Mellal,380 000 DH,Béni Mellal,"Appartements, à vendre",1,2,2,50,https://www.avito.ma/fr/b%C3%A9ni_mellal/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_B%C3%A9ni_Mellal_55733455.htm
Appartement 59M2 2chambres sans vis à vis CIL,820 000 DH,Casablanca,"Appartements, à vendre",1,2,1,59,https://www.avito.ma/fr/c.i.l/appartements/Appartement_59M2_2chambres_sans_vis_%C3%A0_vis_CIL_55629461.htm
appartement wifi pres zara mcdo gueliz,400 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/appartement_wifi_pres_zara_mcdo_gueliz_53266642.htm
شقق مفروشة للكراء اليومي ملاباط,500 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/malabata/locations_de_vacances/%D8%B4%D9%82%D9%82_%D9%85%D9%81%D8%B1%D9%88%D8%B4%D8%A9_%D9%84%D9%84%D9%83%D8%B1%D8%A7%D8%A1_%D8%A7%D9%84%D9%8A%D9%88%D9%85%D9%8A_%D9%85%D9%84%D8%A7%D8%A8%D8%A7%D8%B7_54974372.htm
Appartement à louer 147 m² à willaya,7 000 DH,Tanger,NaN,1,NaN,NaN,147,https://www.avito.ma/fr/administratif/appartements/Appartement_%C3%A0_louer_147_m%C2%B2_%C3%A0_willaya__55354095.htm
Appartement 175 m² à centre ville,2 275 000 DH,Tanger,"Appartements, à vendre",2,3,2,175,https://www.avito.ma/fr/centre_ville/appartements/Appartement_175_m%C2%B2_%C3%A0_centre_ville__54961624.htm
Belle appartement vue mer 157m2,NaN,Tanger,"Appartements, à vendre",1,NaN,NaN,157,https://www.avito.ma/fr/malabata/appartements/Belle_appartement_vue_mer_157m2__55354608.htm
appartement sfliya babha bouhdou fih da3m 7mlyon,540 000 DH,Had Soualem,"Appartements, à vendre",1,3,2,90,https://www.avito.ma/fr/had_soualem/appartements/appartement_sfliya_babha_bouhdou__fih_da3m_7mlyon__53413437.htm
bel appartement familial dans un quartier calme,170 DH /Nuit,Essaouira,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/borj/locations_de_vacances/bel_appartement_familial_dans_un_quartier_calme__55733441.htm
Bel appartement à gueliz centre,400 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Bel_appartement_%C3%A0_gueliz_centre__55139714.htm
Appartement à louer 100 m² à nejma,6 500 DH,Tanger,NaN,1,NaN,NaN,100,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_louer_100_m%C2%B2_%C3%A0_nejma__55351793.htm
Appartement à vendre 65 m² à gzenaya,3 800 000 DH,Tanger,"Appartements, à vendre",1,2,1,65,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_gzenaya__55073537.htm
Appartement meublé à haut founty,5 000 DH,Agadir,NaN,1,NaN,NaN,67,https://www.avito.ma/fr/haut_founty/appartements/Appartement_meubl%C3%A9_%C3%A0_haut_founty_55730082.htm
Appartement à louer 50 m² à Casablanca,6 200 DH,Casablanca,NaN,1,NaN,NaN,50,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_louer_50_m%C2%B2_%C3%A0_Casablanca_55634969.htm
Appartement,380 000 DH,Tanger,"Appartements, à vendre",1,2,1,55,https://www.avito.ma/fr/hay_hassani/appartements/Appartement__55733423.htm
Appartement à vendre 75 m² à Martil,570 000 DH,Martil,"Appartements, à vendre",1,2,1,75,https://www.avito.ma/fr/martil/appartements/Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_Martil_55733421.htm
Appartement jardin de cabo vue sur mer et piscine,350 DH /Nuit,Cabo Negro,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/cabo_negro/locations_de_vacances/_Appartement_jardin_de_cabo_vue_sur_mer_et_piscine_44893752.htm
Super appartement a asilah Marina Golf,450 DH /Nuit,Asilah,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/asilah/locations_de_vacances/Super_appartement_a__asilah_Marina_Golf_53386491.htm
Appartement à vendre 100 m² à Dar Bouazza,NaN,Dar Bouazza,"Appartements, à vendre",1,NaN,NaN,100,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Dar_Bouazza_54833290.htm
Resdnce avec mer et picine,NaN,Asilah,"Appartements, à vendre",2,NaN,NaN,100,https://www.avito.ma/fr/asilah/appartements/Resdnce_avec_mer_et_picine__55234259.htm
Topp appartement près acima GUELIZ,300 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Topp__appartement_pr%C3%A8s_acima_GUELIZ__55709735.htm
appartement trois chambres salon,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/anfa/locations_de_vacances/appartement_trois_chambres_salon_55408257.htm
Bureau en location à rond-point d’Europe 140m,12 000 DH,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/2_mars/bureaux/Bureau_en_location_%C3%A0_rond_point_d_Europe_140m_55706435.htm
Appartements sécurisés,500 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/locations_de_vacances/Appartements_s%C3%A9curis%C3%A9s__55635634.htm
Appartement à louer 85 m² à Rabat,10 500 DH,Rabat,NaN,1,NaN,NaN,85,https://www.avito.ma/fr/hassan/appartements/Appartement_%C3%A0_louer_85_m%C2%B2_%C3%A0_Rabat_55594234.htm
très grand appartement 140m chouka a had soualem,680 000 DH,Had Soualem,"Appartements, à vendre",1,3,2,140,https://www.avito.ma/fr/had_soualem/appartements/tr%C3%A8s_grand_appartement_140m_chouka_a_had_soualem_47240963.htm
Appartement El Houda,4 000 DH,Agadir,NaN,1,NaN,NaN,74,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_El_Houda__55648869.htm
Appartement à vendre au Quartier Wilaya Tetouan,1 650 000 DH,Tétouan,"Appartements, à vendre",2,3,2,175,https://www.avito.ma/fr/wilaya/appartements/Appartement_%C3%A0_vendre_au_Quartier_Wilaya_Tetouan__54017003.htm
Deux chambres salon vacance Acoté gueliz K7,399 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/mabrouka/locations_de_vacances/Deux_chambres_salon_vacance_Acot%C3%A9_gueliz_K7_55730022.htm
appartement meublé familial sans intermédiaire,200 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_hassani/locations_de_vacances/appartement_meubl%C3%A9_familial_sans_interm%C3%A9diaire__55236105.htm
Appart 78m2 dont 18m2 terrasse PERLA,688 000 DH,Bouskoura,"Appartements, à vendre",2,2,2,62,https://www.avito.ma/fr/bouskoura_centre/appartements/Appart_78m2_dont_18m2_terrasse_PERLA_39596386.htm
appartement journée pres zara macdo gueliz wifi,400 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/appartement_journ%C3%A9e_pres_zara_macdo_gueliz_wifi_53926566.htm
Porte Blindée Gros et Détail,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/40425797.htm
Porte Blindée Gros et Détail,3 200 DH,Mohammedia,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/40437016.htm
apparemment à louer Résidence Marhaba,2 500 DH,Agadir,NaN,1,NaN,NaN,54,https://www.avito.ma/fr/hay_dakhla/appartements/apparemment_%C3%A0_louer_R%C3%A9sidence_Marhaba__55623455.htm
Superbe appartement à martil,620 000 DH,Martil,"Appartements, à vendre",1,2,1,53,https://www.avito.ma/fr/martil/appartements/Superbe_appartement_%C3%A0_martil__55553955.htm
Appartement 110 m² à Casablanca,690 000 DH,Casablanca,"Appartements, à vendre",2,3,2,110,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_110_m%C2%B2_%C3%A0_Casablanca_54645618.htm
Appartement à vendre 87 m² à Rabat,1 750 000 DH,Rabat,"Appartements, à vendre",1,2,2,87,https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_%C3%A0_Rabat_55714720.htm
NOUVEAU Appartement au centre ville en face Hilton,720 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/malabata/locations_de_vacances/NOUVEAU_Appartement_au_centre_ville_en_face_Hilton_55269031.htm
Appartement avec terrasse 3 chambres,795 000 DH,El Jadida,"Appartements, à vendre",1,3,2,90,https://www.avito.ma/fr/saada/appartements/Appartement_avec_terrasse_3_chambres__55662871.htm
Matériels Professionnels à Casablanca,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/a%C3%AFn_chock/mat%C3%A9riel_de_bureau/Mat%C3%A9riels_Professionnels_%C3%A0_Casablanca_53078082.htm
appartement climatisé centre ville gueliz wifi,400 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/appartement_climatis%C3%A9_centre_ville_gueliz_wifi__54110165.htm
CMN-MA-1473 - Appartement à vendre à Maârif,900 000 DH,Casablanca,"Appartements, à vendre",NaN,1,1,53,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/CMN_MA_1473___Appartement_%C3%A0_vendre_%C3%A0_Ma%C3%A2rif_54916665.htm
Joli appartement basatin el Menzeh,1 400 000 DH,Rabat,"Appartements, à vendre",1,2,2,70,https://www.avito.ma/fr/souissi/appartements/Joli_appartement_basatin_el_Menzeh__55623172.htm
